city,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,cluster
Visakhapatnam,27.0,2.0,67.0,11.0,112.0,59.0,10.0,2
Vapi,0.0,10.0,14.0,2.0,0.0,99.0,44.0,2
Tumidih,15.0,1.0,40.0,34.0,86.0,45.0,6.0,2
Ulhasnagar,18.0,3.0,43.0,39.0,111.0,69.0,20.0,2
Vijayawada,29.0,4.0,9.0,23.75,59.333333333333336,62.0,14.333333333333334,2
Virar,23.0,2.0,30.0,56.0,88.0,73.0,14.0,2
Sagar,38.5,2.0,40.0,52.0,66.0,48.0,4.0,2
Rishikesh,36.0,6.0,14.0,39.0,80.0,58.0,6.0,2
Ranipet,0.0,8.0,3.0,1.0,86.0,85.0,16.0,2
Rajamahendravaram,26.0,8.0,29.0,3.0,77.0,59.0,14.0,2
Rairangpur,29.0,3.0,13.0,28.0,97.0,80.0,17.0,2
Tirumala,12.0,2.0,29.0,31.0,70.0,79.0,10.0,2
Udupi,0.0,0.0,31.0,21.0,90.0,79.0,7.0,2
Surat,63.0,0.0,25.0,0.0,68.0,66.0,46.0,2
Thane,25.5,3.0,32.0,55.0,92.0,84.5,16.5,2
Tensa,9.0,5.0,50.0,5.0,99.0,63.0,38.0,2
Munger,37.0,6.0,18.0,15.0,92.0,68.0,12.0,2
Mysuru,28.0,4.0,19.0,58.0,57.0,42.0,10.0,2
Nagpur,25.5,4.75,32.25,50.25,99.75,75.0,25.5,2
Kohima,12.0,1.0,4.0,15.0,73.0,68.0,56.0,2
Khanna,21.0,6.0,28.0,12.0,72.0,61.0,15.0,2
Keonjhar,23.0,12.0,5.0,11.0,110.0,59.0,30.0,2
Mahad,34.0,8.0,26.0,61.0,108.0,85.0,19.0,2
Ludhiana,49.0,3.0,17.0,14.0,91.0,77.0,15.0,2
Meerut,26.0,9.0,27.0,35.666666666666664,98.0,44.666666666666664,17.333333333333332,2
Manguraha,45.0,0.0,4.0,10.0,100.0,124.0,7.0,2
Malegaon,54.0,10.0,0.0,51.0,85.0,0.0,25.0,2
Mangalore,38.0,3.0,16.0,20.0,70.0,59.0,10.0,2
Moradabad,22.333333333333332,5.166666666666667,26.5,39.333333333333336,54.5,32.0,26.5,2
Mira-Bhayandar,27.0,2.0,41.0,40.0,120.0,73.0,4.0,2
Nayagarh,35.0,0.0,0.0,9.0,121.0,106.0,9.0,2
Ooty,26.0,14.0,0.0,5.0,72.0,67.0,23.0,2
Virudhunagar,22.0,5.0,16.0,0.0,68.0,49.0,18.0,2
Hajipur,39.0,4.0,44.0,76.0,157.0,176.0,7.0,3
Dungarpur,27.0,5.0,30.0,81.0,116.0,159.0,4.0,3
Durgapur,70.0,4.666666666666667,36.666666666666664,62.0,171.0,122.66666666666667,22.333333333333332,3
Cuttack,57.0,3.0,75.0,256.0,162.0,134.0,7.0,3
Ahmedabad,42.5,6.857142857142857,64.375,81.88888888888889,129.625,142.75,31.88888888888889,3
Ankleshwar,59.0,4.0,78.0,38.0,120.0,135.0,51.0,3
Ahmednagar,44.0,6.0,25.0,174.0,155.0,160.0,5.0,3
Barrackpore,105.0,10.0,23.0,62.0,142.0,124.0,13.0,3
Balasore,39.0,4.0,22.0,175.0,124.0,134.0,20.0,3
Asansol,50.5,6.0,36.0,61.0,136.5,126.5,24.5,3
Angul,86.0,4.0,26.0,53.0,99.0,68.0,41.0,3
Bhubaneswar,45.5,5.0,25.5,148.0,158.5,162.0,21.5,3
Belapur,59.0,0.0,44.0,50.0,144.0,119.0,21.0,3
Byasanagar,42.0,3.0,23.0,182.0,141.0,148.0,31.0,3
Byrnihat,67.0,3.0,6.0,35.0,242.0,284.0,13.0,3
Howrah,34.4,6.0,46.5,65.4,167.4,166.8,14.4,3
Pithampur,44.0,3.0,22.0,115.0,121.0,93.0,22.0,3
Pune,58.8,5.5,67.6,66.0,125.1,119.2,13.75,3
Patna,39.166666666666664,5.0,22.5,58.0,149.8,113.5,7.833333333333333,3
Mandideep,41.0,7.0,76.0,37.0,204.0,172.0,52.0,3
Mandi Gobindgarh,68.0,0.0,0.0,48.0,169.0,114.0,0.0,3
Pali,50.0,8.0,49.0,44.0,173.0,190.0,7.0,3
Sangli,37.0,2.0,67.0,104.0,136.0,94.0,32.0,3
Rourkela,46.333333333333336,2.0,6.0,58.0,155.66666666666666,171.66666666666666,5.0,3
Talcher,73.0,4.0,34.0,33.0,217.0,223.0,42.0,3
Tumakuru,57.0,2.0,18.0,7.0,159.0,114.0,7.0,3
Ujjain,74.0,5.0,45.0,27.0,110.0,110.0,14.0,3
Vatva,78.0,7.0,61.0,2.0,183.0,136.0,16.0,3
